Order_ID,Hotel_Name,City,Dish_Name,Category,Variant,Base_Price,Packing_Charge,Total_Price,Packed_Status,Food_Rating
50,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,50,577,Packed,5.2
51,Thakur Chiefs,Himachal Pradesh,Shahi Paneer,Veg,Full,162,50,212,Packed,0.3
52,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,50,149,Packed,5.6
53,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,2.4
54,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,0,219,Unpacked,5.4
55,Thakur Chiefs,Himachal Pradesh,Veg Biryani,Veg,Full,275,50,325,Packed,5.9
56,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,0,527,Unpacked,2.5
57,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,50,213,Packed,1.1
58,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,4.5
59,Thakur Chiefs,Himachal Pradesh,Dal Makhani,Veg,Half,124,0,124,Unpacked,3.0
60,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,5.8
61,Thakur Chiefs,Himachal Pradesh,Shahi Paneer,Veg,Half,97,50,147,Packed,3.6
62,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Half,244,0,244,Unpacked,0.7
63,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,50,355,Packed,3.7
64,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Full,194,0,194,Unpacked,1.2
65,Thakur Chiefs,Himachal Pradesh,Chicken Curry,Non-Veg,Full,458,50,508,Packed,1.6
66,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,0,290,Unpacked,1.9
67,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,50,312,Packed,2.7
68,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,50,168,Packed,3.2
69,Thakur Chiefs,Himachal Pradesh,Butter Chicken,Non-Veg,Full,166,50,216,Packed,5.6
70,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,50,355,Packed,2.2
71,Thakur Chiefs,Himachal Pradesh,Veg Biryani,Veg,Full,275,0,275,Unpacked,3.7
72,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,0,150,Unpacked,5.6
73,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Half,317,0,317,Unpacked,0.7
74,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Half,317,0,317,Unpacked,1.7
75,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,50,314,Packed,4.1
76,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Full,482,0,482,Unpacked,1.5
77,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Half,257,50,307,Packed,3.8
78,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,50,566,Packed,0.0
79,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,0,262,Unpacked,1.0
80,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,50,502,Packed,0.7
81,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,50,355,Packed,5.0
82,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,0,118,Unpacked,0.8
83,Thakur Chiefs,Himachal Pradesh,Kadai Paneer,Veg,Full,202,50,252,Packed,5.4
84,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,2.1
85,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Full,165,50,215,Packed,5.6
86,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Half,132,50,182,Packed,5.3
87,Thakur Chiefs,Himachal Pradesh,Paneer Butter Masala,Veg,Half,286,0,286,Unpacked,4.7
88,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,0,116,Unpacked,1.0
89,Thakur Chiefs,Himachal Pradesh,Chicken Curry,Non-Veg,Half,274,0,274,Unpacked,5.2
90,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Full,482,50,532,Packed,1.2
91,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Full,429,0,429,Unpacked,1.8
92,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,50,200,Packed,0.1
93,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,0,264,Unpacked,1.7
94,Thakur Chiefs,Himachal Pradesh,Shahi Paneer,Veg,Full,162,0,162,Unpacked,3.8
95,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,50,479,Packed,0.7
96,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Half,316,0,316,Unpacked,0.2
97,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Full,261,0,261,Unpacked,4.4
98,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Full,496,50,546,Packed,2.3
99,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,0,118,Unpacked,0.3
100,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,50,166,Packed,2.2
101,Thakur Chiefs,Himachal Pradesh,Shahi Paneer,Veg,Full,162,0,162,Unpacked,4.0
102,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Full,529,0,529,Unpacked,4.0
103,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Full,496,0,496,Unpacked,3.3
104,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,0,264,Unpacked,4.1
105,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Half,305,0,305,Unpacked,2.4
106,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,0,309,Unpacked,1.7
107,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Full,194,0,194,Unpacked,2.7
108,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Half,244,0,244,Unpacked,4.8
109,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,50,200,Packed,1.7
110,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Full,408,50,458,Packed,4.9
111,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,0,262,Unpacked,1.3
112,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,0.3
113,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,0,219,Unpacked,2.5
114,Thakur Chiefs,Himachal Pradesh,Tandoori Chicken,Non-Veg,Half,161,0,161,Unpacked,3.0
115,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Half,132,50,182,Packed,5.4
116,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,0,289,Unpacked,1.3
117,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,50,301,Packed,3.3
118,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Half,257,0,257,Unpacked,0.8
119,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,0,452,Unpacked,3.7
120,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,0,163,Unpacked,5.4
121,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,0,163,Unpacked,1.6
122,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,0,221,Unpacked,3.8
123,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,50,577,Packed,4.3
124,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,0,221,Unpacked,1.9
125,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,50,149,Packed,0.9
126,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Half,257,50,307,Packed,0.4
127,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Full,194,0,194,Unpacked,2.5
128,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,0,264,Unpacked,5.4
129,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,0,118,Unpacked,2.9
130,Thakur Chiefs,Himachal Pradesh,Veg Pulao,Veg,Full,529,0,529,Unpacked,5.1
131,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,50,566,Packed,2.9
132,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,0,527,Unpacked,0.2
133,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Full,496,50,546,Packed,5.0
134,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Half,257,50,307,Packed,5.4
135,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,50,168,Packed,3.9
136,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,0.3
137,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,50,479,Packed,2.7
138,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Full,496,0,496,Unpacked,4.5
139,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,0,516,Unpacked,5.0
140,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,50,269,Packed,6.0
141,Thakur Chiefs,Himachal Pradesh,Veg Pulao,Veg,Half,317,50,367,Packed,4.7
142,Thakur Chiefs,Himachal Pradesh,Tandoori Chicken,Non-Veg,Half,161,50,211,Packed,5.7
143,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,1.4
144,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,50,269,Packed,2.8
145,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,50,577,Packed,3.6
146,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Half,97,50,147,Packed,5.8
147,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Half,317,0,317,Unpacked,3.5
148,Thakur Chiefs,Himachal Pradesh,Chicken Lollipop,Non-Veg,Full,429,0,429,Unpacked,5.6
149,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,0.6
150,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Full,437,50,487,Packed,4.8
151,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,0,118,Unpacked,3.2
152,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Full,408,50,458,Packed,3.0
153,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Half,297,0,297,Unpacked,4.9
154,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Full,529,0,529,Unpacked,3.8
155,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,50,566,Packed,2.6
156,Thakur Chiefs,Himachal Pradesh,Mutton Biryani,Non-Veg,Full,163,0,163,Unpacked,2.8
157,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Full,516,0,516,Unpacked,5.1
158,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,0,309,Unpacked,5.3
159,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,0,221,Unpacked,2.0
160,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,50,416,Packed,2.9
161,Thakur Chiefs,Himachal Pradesh,Veg Pulao,Veg,Full,529,0,529,Unpacked,1.7
162,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Full,261,50,311,Packed,3.1
163,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Half,158,50,208,Packed,4.3
164,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,0,219,Unpacked,3.9
165,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,50,416,Packed,0.6
166,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,50,271,Packed,1.8
167,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,0,197,Unpacked,3.3
168,Thakur Chiefs,Himachal Pradesh,Veg Pulao,Veg,Full,529,0,529,Unpacked,2.1
169,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,0,452,Unpacked,1.5
170,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Half,317,0,317,Unpacked,0.7
171,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,50,149,Packed,1.3
172,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,0,366,Unpacked,5.9
173,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,0,309,Unpacked,1.4
174,Thakur Chiefs,Himachal Pradesh,Veg Biryani,Veg,Full,275,50,325,Packed,4.2
175,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,5.8
176,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Full,165,50,215,Packed,3.8
177,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Full,437,50,487,Packed,5.2
178,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,0,197,Unpacked,2.9
179,Thakur Chiefs,Himachal Pradesh,Mix Veg Curry,Veg,Half,297,50,347,Packed,1.5
180,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Full,482,50,532,Packed,4.9
181,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,50,479,Packed,3.5
182,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Half,244,50,294,Packed,0.9
183,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,50,247,Packed,6.0
184,Thakur Chiefs,Himachal Pradesh,Chole Bhature,Veg,Full,529,50,579,Packed,4.7
185,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Full,429,0,429,Unpacked,1.8
186,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,0,197,Unpacked,3.4
187,Thakur Chiefs,Himachal Pradesh,Dal Makhani,Veg,Half,124,50,174,Packed,3.8
188,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Half,316,50,366,Packed,1.4
189,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,50,149,Packed,0.0
190,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,0,452,Unpacked,0.2
191,Thakur Chiefs,Himachal Pradesh,Kadai Paneer,Veg,Full,202,0,202,Unpacked,0.4
192,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,50,271,Packed,2.6
193,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,50,149,Packed,5.5
194,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,50,359,Packed,0.4
195,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,0,251,Unpacked,2.6
196,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,0,452,Unpacked,5.7
197,Thakur Chiefs,Himachal Pradesh,Butter Chicken,Non-Veg,Full,166,0,166,Unpacked,0.5
198,Thakur Chiefs,Himachal Pradesh,Dal Makhani,Veg,Full,207,0,207,Unpacked,3.6
199,Thakur Chiefs,Himachal Pradesh,Paneer Butter Masala,Veg,Half,286,50,336,Packed,5.8
200,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,0,309,Unpacked,3.5
201,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,0,262,Unpacked,3.1
202,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,50,502,Packed,6.0
203,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Full,194,50,244,Packed,2.8
204,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Full,194,0,194,Unpacked,4.0
205,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,0,289,Unpacked,2.5
206,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,0,366,Unpacked,4.9
207,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Half,99,0,99,Unpacked,0.5
208,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,50,577,Packed,5.8
209,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Half,257,0,257,Unpacked,2.5
210,Thakur Chiefs,Himachal Pradesh,Aloo Gobi,Veg,Full,264,0,264,Unpacked,3.8
211,Thakur Chiefs,Himachal Pradesh,Egg Curry,Non-Veg,Half,262,50,312,Packed,1.6
212,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,0,290,Unpacked,5.3
213,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,50,269,Packed,5.8
214,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Half,156,50,206,Packed,1.9
215,Thakur Chiefs,Himachal Pradesh,Paneer Butter Masala,Veg,Full,477,50,527,Packed,1.3
216,Thakur Chiefs,Himachal Pradesh,Prawn Masala,Non-Veg,Half,309,0,309,Unpacked,5.7
217,Thakur Chiefs,Himachal Pradesh,Tandoori Chicken,Non-Veg,Half,161,0,161,Unpacked,5.6
218,Thakur Chiefs,Himachal Pradesh,Kadai Paneer,Veg,Full,202,0,202,Unpacked,5.0
219,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Half,219,0,219,Unpacked,3.3
220,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Half,257,50,307,Packed,5.2
221,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,0,527,Unpacked,5.6
222,Thakur Chiefs,Himachal Pradesh,Butter Chicken,Non-Veg,Full,166,50,216,Packed,1.7
223,Thakur Chiefs,Himachal Pradesh,Kadai Paneer,Veg,Full,202,50,252,Packed,2.7
224,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,0,366,Unpacked,3.3
225,Thakur Chiefs,Himachal Pradesh,Chicken Biryani,Non-Veg,Full,165,0,165,Unpacked,5.6
226,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Half,289,50,339,Packed,3.4
227,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,50,271,Packed,1.9
228,Thakur Chiefs,Himachal Pradesh,Butter Naan,Veg,Full,366,0,366,Unpacked,5.9
229,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,0,150,Unpacked,5.8
230,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,5.2
231,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Half,271,0,271,Unpacked,0.1
232,Thakur Chiefs,Himachal Pradesh,Rajma Chawal,Veg,Full,290,50,340,Packed,0.4
233,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Full,251,0,251,Unpacked,3.7
234,Thakur Chiefs,Himachal Pradesh,Matar Paneer,Veg,Half,257,0,257,Unpacked,5.1
235,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Full,482,0,482,Unpacked,3.8
236,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Full,509,50,559,Packed,3.7
237,Thakur Chiefs,Himachal Pradesh,Palak Paneer,Veg,Full,221,50,271,Packed,4.5
238,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,50,166,Packed,2.7
239,Thakur Chiefs,Himachal Pradesh,Chicken Curry,Non-Veg,Full,458,50,508,Packed,0.3
240,Thakur Chiefs,Himachal Pradesh,Chicken Korma,Non-Veg,Half,150,0,150,Unpacked,2.2
241,Thakur Chiefs,Himachal Pradesh,Baingan Bharta,Veg,Half,116,50,166,Packed,3.2
242,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,50,168,Packed,1.1
243,Thakur Chiefs,Himachal Pradesh,Chicken Tikka Masala,Non-Veg,Full,261,50,311,Packed,3.0
244,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,50,168,Packed,2.8
245,Thakur Chiefs,Himachal Pradesh,Malai Kofta,Veg,Full,527,0,527,Unpacked,4.0
246,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Full,509,0,509,Unpacked,4.1
247,Thakur Chiefs,Himachal Pradesh,Veg Biryani,Veg,Half,165,0,165,Unpacked,5.7
248,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,0,197,Unpacked,4.1
249,Thakur Chiefs,Himachal Pradesh,Tandoori Roti,Veg,Full,452,50,502,Packed,6.0
250,Thakur Chiefs,Himachal Pradesh,Chicken Handi,Non-Veg,Full,482,50,532,Packed,1.4
251,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Full,197,0,197,Unpacked,6.0
252,Thakur Chiefs,Himachal Pradesh,Kadai Paneer,Veg,Half,121,0,121,Unpacked,1.6
253,Thakur Chiefs,Himachal Pradesh,Mutton Rogan Josh,Non-Veg,Half,118,0,118,Unpacked,5.0
254,Thakur Chiefs,Himachal Pradesh,Mutton Curry,Non-Veg,Full,509,50,559,Packed,3.6
255,Thakur Chiefs,Himachal Pradesh,Veg Pulao,Veg,Half,317,50,367,Packed,3.7
256,Thakur Chiefs,Himachal Pradesh,Fish Curry,Non-Veg,Half,244,50,294,Packed,5.4
